name,beer,rating
Holly Sullivan,Nickel Brook Brewing Company: Head Stock,7.0
Holly Sullivan,Muskoka Brewery: Muskoka Harvest Ale,5.0
Holly Sullivan,Unibroue: Blanche de Chambly,7.0
Holly Sullivan,Brasserie Dieu De Ciel!: Peche Mortel,9.0
Holly Sullivan,Flying Monkeys Craft Brewery: Hoptical Illusion,6.0
Holly Sullivan,Bellwoods Brewery: Milkshark - Pineapple,8.0
Holly Sullivan,Bellwoods Brewery: Roman Candle,8.0
Holly Sullivan,Rainhard Brewing Co.: Kapow! IPA,8.0
Holly Sullivan,Indie Ale House Brewing: Cock Puncher,6.0
Holly Sullivan,Bellwoods Brewery: Witchshark,8.0
Holly Sullivan,Nickel Brook Brewing: Old Kentucky Bastard,9.0
Holly Sullivan,Amsterdam Brewing Company: Boneshaker,6.0
Holly Sullivan,Guiness: Guinness,10.0
Holly Sullivan,Brewery Ommegang: Hennepin,9.0
Holly Sullivan,Sierra Nevada Brewing Co.: Pale Ale,7.0
Holly Sullivan,Redline Brewhouse: Double Clutch,9.0
Holly Sullivan,Hop City Brewing Co.: Barking Squirrel Lager,5.0
Holly Sullivan,Amsterdam Brewing Company: Big Wheel Deluxe Amber,5.0
Holly Sullivan,Left Field Brewery: Greenwood,8.0
Holly Sullivan,McAuslan Brewing: St. Ambroise Oatmeal Stout,7.0
Holly Sullivan,Collective Arts Brewing: Ransack the Universe - Hemisphere IPA,7.0
Holly Sullivan,Sawdust City Brewing Co.: Juicin,7.0
Holly Sullivan,Molson Breweries of Canada: Carling,5.0
Holly Sullivan,Bellwoods Brewery: Jelly King - Pink Guava,9.0
Holly Sullivan,Muskoka Brewery: Muskoka Twice As Mad Tom IPA,5.0
Holly Sullivan,Amsterdam Brewing Company: Framboise,4.0
Holly Sullivan,Rainhard Brewing Co.: Armed N' Citra,7.0
Holly Sullivan,Bellwoods Brewery: Double Jutsu,9.0
Holly Sullivan,Brasserie Dieu du Ciel!: Chemin de Croix,9.0
Holly Sullivan,Hop City Brewing Co.: Big Mouth Pale Ale,5.0
Holly Sullivan,Flying Monkeys Craft Brewery: 12 Minutes to Destiny,7.0
Holly Sullivan,Great Lakes Brewery: Great Lakes Octopus Wants To Fight IPA,6.0
Holly Sullivan,Amsterdam Brewing Company: All Natural Blonde,5.0
Holly Sullivan,Ace Hill Brewing Company: Ace Hill Pilsner,5.0
Holly Sullivan,Nickel Brook Brewing: Über - Raspberry,7.0
Holly Sullivan,Railway City Brewing Company: Black Coal Stout,8.0
Holly Sullivan,Glutenberg: Glutenberg Blonde,6.0
Holly Sullivan,Junction Craft Brewing: Engineers,6.0
Holly Sullivan,Bellwoods Brewery: 3 Minutes To Midnight,7.0
Holly Sullivan,Brickworks Ciderhouse: Batch: 1904,7.0
Holly Sullivan,Amsterdam Brewing Company: (416) Local Lager,5.0
Holly Sullivan,Sawdust City Brewing Co.: Little Norway,8.0
Holly Sullivan,Flying Monkeys Craft Brewery: Flying Monkeys Acadian Groove Canadian Maple Porter,5.0
Holly Sullivan,Nickel Brook Brewing Company: Bolshevik Bastard,8.0
Holly Sullivan,Lagunitas Brewing Company: GnarlyWine,8.0
Holly Sullivan,Kensington Brewing Company: Augusta Ale,5.0
Holly Sullivan,Collective Arts Brewing: Rhyme & Reason,4.0
Holly Sullivan,Collective Arts Brewing: Dark Fruit Gose,8.0
Holly Sullivan,Heineken: Heineken Lager,4.0
Holly Sullivan,Nickel Brook Brewing: Winey Bastard,8.0
Holly Sullivan,Collective Arts Brewing: Basil & Cranberry,7.0
Holly Sullivan,Glutenberg: Glutenberg American Pale Ale,7.0
Holly Sullivan,Alexander Keiths: Red Amber Ale,7.0
Holly Sullivan,Bellwoods Brewery: Cat Lady - Double Dry-Hopped,8.0
Holly Sullivan,Flying Monkeys Craft Brewery: Flying Monkeys The Chocolate Manifesto,7.0
Holly Sullivan,Amsterdam Brewing Company: Cruiser All Day Pale Ale,6.0
Holly Sullivan,High Road Brewing: Cloud Piercer,8.0
Holly Sullivan,Bellwoods Brewery: Farmageddon - Niagara Montmorency Cherry,8.0
